datetime,text,platform,url,favorites,reposts,deleted
2025-11-26 07:28:47-05:00,"The Creeps at the Failing New York Times are at it again. I won the 2024 Presidential Election in a Landslide, winning all Seven Swing States, the Popular Vote, and the Electoral College by a lot. I one our Nation’s Districts by 2750 to 550, a complete wipeout. I settled 8 Wars, have 48 New Stock Market Highs, our Economy is Great, and our Country is RESPECTED AGAIN all over the World, respected like never before. The last Administration had the Highest Inflation in history - I have already brought that down to normal, and prices, including groceries, are coming down. To do this requires a lot of Work and Energy, and I have never worked so hard in my life. Yet despite all of this the Radical Left Lunatics in the soon to fold New York Times did a hit piece on me that I am perhaps losing my Energy, despite facts that show the exact opposite. They know this is wrong, as is almost every thing that they write about me, including election results, ALL PURPOSELY NEGATIVE. This cheap “RAG” is truly an “ENEMY OF THE PEOPLE.” The writer of the story, Katie Rogers, who is assigned to write only bad things about me, is a third rate reporter who is ugly, both inside and out. Despite all of this, I have my highest Poll Numbers, ever, and with record setting investment being made in America, they should only go up. There will be a day when I run low on Energy, it happens to everyone, but with a PERFECT PHYSICAL EXAM AND A COMPREHENSIVE COGNITIVE TEST (“That was aced”) JUST RECENTLY TAKEN, it certainly is not now! GOD BLESS AMERICA & MAKE AMERICA GREAT AGAIN!!!",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115615998120894392,8746,2458.0,True
2025-11-26 08:29:14-05:00,"There is a new word for a TRUMP REPUBLICAN, which is almost everyone (GREAT POLICY IS THE KEY!). It is, TEPUBLICAN??? Or, TPUBLICAN???",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115616235841996334,3879,1018.0,True
2025-11-26 08:32:26-05:00,"VICTORIA COATES was GREAT on Maria B this morning. Always solid policy, analysis, and advice - A total WINNER!!! President DJT",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115616248406860153,3624,803.0,True
2025-11-26 08:40:48-05:00,https:// justthenews.com/government/whi te-house/russia-ukraine-need-js-top,Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115616281319187156,2777,783.0,True
2025-11-26 09:47:56-05:00,"The Creeps at the Failing New York Times are at it again. I won the 2024 Presidential Election in a Landslide, winning all Seven Swing States, the Popular Vote, and the Electoral College by a lot. I won our Nation’s Districts by 2750 to 550, a complete wipeout. I settled 8 Wars, have 48 New Stock Market Highs, our Economy is Great, and our Country is RESPECTED AGAIN all over the World, respected like never before. The last Administration had the Highest Inflation in history - I have already brought that down to normal, and prices, including groceries, are coming down. To do this requires a lot of Work and Energy, and I have never worked so hard in my life. Yet despite all of this the Radical Left Lunatics in the soon to fold New York Times did a hit piece on me that I am perhaps losing my Energy, despite facts that show the exact opposite. They know this is wrong, as is almost every thing that they write about me, including election results, ALL PURPOSELY NEGATIVE. This cheap “RAG” is truly an “ENEMY OF THE PEOPLE.” The writer of the story, Katie Rogers, who is assigned to write only bad things about me, is a third rate reporter who is ugly, both inside and out. Despite all of this, I have my highest Poll Numbers, ever, and with record setting investment being made in America, they should only go up. There will be a day when I run low on Energy, it happens to everyone, but with a PERFECT PHYSICAL EXAM AND A COMPREHENSIVE COGNITIVE TEST (“That was aced”) JUST RECENTLY TAKEN, it certainly is not now! GOD BLESS AMERICA & MAKE AMERICA GREAT AGAIN!!!",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115616545250020843,0,0.0,False
2025-11-26 09:48:21-05:00,"There is a new word for a TRUMP REPUBLICAN, which is almost everyone (GREAT POLICY IS THE KEY!). It is, TEPUBLICAN??? Or, TPUBLICAN???",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115616546926814479,39,12.0,False
2025-11-26 09:48:44-05:00,"VICTORIA COATES was GREAT on Maria B this morning. Always solid policy, analysis, and advice - A total WINNER!!! President DJT",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115616548418162346,14,3.0,False
2025-11-26 09:49:03-05:00,https:// justthenews.com/government/whi te-house/russia-ukraine-need-js-top,Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115616549656369099,107,35.0,False
2025-11-26 11:56:58-05:00,This is the Lincoln Memorial Reflecting Pool before Secretary of the Interior Doug Burgum and I fix it. Study it hard because you won’t be seeing this Biden filth and incompetence much longer!,Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115617052659110736,0,0.0,False
2025-11-26 14:31:09-05:00,"BREAKING NEWS! LAW and JUSTICE have prevailed in the Great State of Georgia, as the corrupt Fani Willis Witch Hunt against me, and other Great American Patriots, has been DISMISSED in its entirety. This Illegal, Unconstitutional, and unAmerican Hoax was perpetrated against our Nation by Fani and her Low I.Q. Lover, Nathan Wade, at the direction of Crooked Joe Biden and his “Handlers.” This case should have never been brought in the first place. The Radical and Unethical District Attorney illegally hired her boyfriend to “prosecute the Former President of the United States of America” in a charade, even though he had never prosecuted such a case before, was completely inexperienced in RICO, and blatantly lied about everything, including their “beautiful” love affair, the ridiculously high amounts of money she paid him (unlawfully taking it from the honest Taxpayers of Georgia), their record setting numbers of Caribbean cruises, vacations, and getaways, her clear Campaign Finance Violations and, most importantly, their obsession with doing anything and everything to “GET TRUMP,” just as the Biden White House told them to do. The Deranged Democrats did all they could to viciously attack me, my supporters, and our MAGA Movement, for telling the TRUTH — THE 2020 ELECTION WAS RIGGED AND STOLEN, and they committed Crime after Crime as they weaponized our Law Enforcement and Justice System against HONEST AND LOVING Americans but, we have fought back and won both in the Courts and Politically with our Historic, Country saving, Landslide Victory of November 5, 2024. We have to hold responsible those who attempted to destroy our Legal System and Nation itself as they tried to use it to silence and imprison Political Opponents for protecting our Country, and exercising our FIRST AMENDMENT Rights. The few remaining Democrat Witch Hunts will soon meet the same embarrassing end. We are going to keep winning, and continue to, MAKE AMERICA GREAT AGAIN!",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115617658912008194,135,38.0,False
2025-11-26 14:41:49-05:00,"The United States did not attend the G20 in South Africa, because the South African Government refuses to acknowledge or address the horrific Human Right Abuses endured by Afrikaners, and other descendants of Dutch, French, and German settlers. To put it more bluntly, they are killing white people, and randomly allowing their farms to be taken from them. Perhaps, worst of all, the soon to be out of business New York Times and the Fake News Media won’t issue a word against this genocide. That’s why all the Liars and Pretenders of the Radical Left Media are going out of business! At the conclusion of the G20, South Africa refused to hand off the G20 Presidency to a Senior Representative from our U.S. Embassy, who attended the Closing Ceremony. Therefore, at my direction, South Africa will NOT be receiving an invitation to the 2026 G20, which will be hosted in the Great City of Miami, Florida next year. South Africa has demonstrated to the World they are not a country worthy of Membership anywhere, and we are going to stop all payments and subsidies to them, effective immediately. Thank you for your attention to this matter!",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115617700844849134,2,0.0,False
2025-11-26 15:23:55-05:00,"The animal that shot the two National Guardsmen, with both being critically wounded, and now in two separate hospitals, is also severely wounded, but regardless, will pay a very steep price. God bless our Great National Guard, and all of our Military and Law Enforcement. These are truly Great People. I, as President of the United States, and everyone associated with the Office of the Presidency, am with you!",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115617866419112089,124,34.0,False
2025-11-26 16:58:01-05:00,"Democracy is on trial in the coming Elections in the beautiful country of Honduras on November 30th. Will Maduro and his Narcoterrorists take over another country like they have taken over Cuba, Nicaragua, and Venezuela? The man who is standing up for Democracy, and fighting against Maduro, is Tito Asfura, the Presidential Candidate of the National Party. Tito was the highly successful Mayor of Tegucigalpa where he brought running water to millions, and paved hundreds of kilometers of roads. His chief opponent is Rixi Moncada, who says Fidel Castro is her idol. Normally, the smart people of Honduras, would reject her, and elect Tito Asfura, but the Communists are trying to trick the people by running a third Candidate, Salvador Nasralla. Nasralla is no friend of Freedom. A borderline Communist, he helped Xiomara Castro by running as her Vice President. He won, and helped Castro win. Then he resigned, and is now pretending to be an anti-Communist only for the purposes of splitting Asfura’s vote. The people of Honduras must not be tricked again. The only real friend of Freedom in Honduras is Tito Asfura. Tito and I can work together to fight the Narcocommunists, and bring needed aid to the people of Honduras. I cannot work with Moncada and the Communists, and Nasralla is not a reliable partner for Freedom, and cannot be trusted. I hope the people of Honduras vote for Freedom and Democracy, and elect Tito Asfura, President!",Truth Social,https://truthsocial.com/@realDonaldTrump/posts/115618236412963848,104,33.0,False
