Datetime,news_cnt_5m,news_cnt_15m,news_cnt_60m,sent_sum_pos_5m,sent_sum_neg_5m,sent_net_5m,sent_sum_pos_15m,sent_sum_neg_15m,sent_net_15m,sent_sum_pos_60m,sent_sum_neg_60m,sent_net_60m,sent_ewm_60m
2025-11-06 20:44:00+00:00,2.0,2.0,5.0,0.7787850443273783,1.1512870639562607,-0.07450040392577646,0.7787850443273787,1.1512870639562607,-0.024833467975258806,2.58919302560389,1.237470608204603,0.015680272644385696,0.014307434136262134
2025-11-06 20:45:00+00:00,2.0,2.0,3.0,0.7787850443273783,1.1512870639562607,-0.07450040392577646,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.014143099238970743
2025-11-06 20:46:00+00:00,1.0,2.0,3.0,0.0075699035078287,0.9740251898765565,-0.19329105727374551,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.013980651888964952
2025-11-06 20:47:00+00:00,1.0,2.0,3.0,0.0075699035078287,0.9740251898765565,-0.19329105727374551,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.013820070405915054
2025-11-06 20:48:00+00:00,1.0,2.0,3.0,0.0075699035078287,0.9740251898765565,-0.19329105727374551,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.013661333358511166
2025-11-06 20:49:00+00:00,0.0,2.0,3.0,0.0,0.0,0.0,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.013504419561603002
2025-11-06 20:50:00+00:00,0.0,2.0,3.0,0.0,0.0,0.0,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.013349308073372475
2025-11-06 20:51:00+00:00,0.0,2.0,3.0,0.0,0.0,0.0,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.013195978192538798
2025-11-06 20:52:00+00:00,0.0,2.0,3.0,0.0,0.0,0.0,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.013044409455595667
2025-11-06 20:53:00+00:00,0.0,2.0,3.0,0.0,0.0,0.0,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.012894581634080204
2025-11-06 20:54:00+00:00,0.0,2.0,3.0,0.0,0.0,0.0,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.012746474731873236
2025-11-06 20:55:00+00:00,0.0,2.0,3.0,0.0,0.0,0.0,0.7787850443273787,1.1512870639562607,-0.024833467975258806,1.6895973030477758,1.15968700312078,0.008831838332116605,0.012600068982530615
2025-11-06 20:56:00+00:00,0.0,1.0,3.0,0.0,0.0,0.0,0.007569903507829144,0.9740251898765565,-0.06443035242458182,1.6895973030477758,1.15968700312078,0.008831838332116605,0.012455344846645159
2025-11-06 20:57:00+00:00,0.0,1.0,3.0,0.0,0.0,0.0,0.007569903507829144,0.9740251898765565,-0.06443035242458182,1.6895973030477758,1.15968700312078,0.008831838332116605,0.01231228300923893
2025-11-06 20:58:00+00:00,1.0,2.0,4.0,0.0123786637559533,0.9696270227432253,-0.19144967179745437,0.019948567263782444,1.9436522126197817,-0.12824690969039992,1.701975966803729,2.129314025864005,-0.007122300984337924,0.0011759292086338188
2025-11-06 20:59:00+00:00,1.0,1.0,4.0,0.0123786637559533,0.9696270227432253,-0.19144967179745437,0.012378663755953744,0.9696270227432253,-0.0638165572658181,1.701975966803729,2.129314025864005,-0.007122300984337924,0.0011624225096770154
2025-11-07 14:30:00+00:00,1.0,1.0,4.0,0.0123786637559533,0.9696270227432253,-0.19144967179745437,0.012378663755953744,0.9696270227432253,-0.0638165572658181,1.701975966803729,2.129314025864005,-0.007122300984337924,0.0011490709483895295
2025-11-07 14:31:00+00:00,1.0,1.0,4.0,0.0123786637559533,0.9696270227432253,-0.19144967179745437,0.012378663755953744,0.9696270227432253,-0.0638165572658181,1.701975966803729,2.129314025864005,-0.007122300984337924,0.0011358727428632488
2025-11-07 14:32:00+00:00,2.0,2.0,5.0,0.0879184985533356,0.984110868535936,-0.17923847399652007,0.08791849855333604,0.984110868535936,-0.059746157998840005,1.7775158016011114,2.143797871656716,-0.006104701167593399,0.001824113978698489
2025-11-07 14:33:00+00:00,2.0,3.0,5.0,0.5127976313233376,0.03462022822350261,0.09563548061996696,0.5251762950792912,1.0042472509667277,-0.031938063725829115,1.3039613394066687,2.1555343149229884,-0.014192882925271988,0.006594210315333482
2025-11-07 14:34:00+00:00,2.0,3.0,5.0,0.5127976313233376,0.03462022822350261,0.09563548061996696,0.5251762950792913,1.0042472509667277,-0.031938063725829115,1.3039613394066687,2.1555343149229884,-0.014192882925271988,0.006518469349862837
2025-11-07 14:35:00+00:00,3.0,4.0,6.0,0.9482199922204018,0.10183045547455541,0.1692779073491692,0.9605986559763555,1.0714574782177806,-0.007390588149428364,1.739383700303733,2.2227445421740413,-0.0080560140311718,0.010672875416454897
